epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.579,2.20189,2.28584,1.17207,0.24489,0.16641,0.10677,0.04481,2.12966,2.45825,1.12532,0.000657143,0.000657143,0.000657143
2,353.227,2.12544,1.69574,1.11261,0.30875,0.25692,0.18605,0.08175,2.03761,1.99551,1.11751,0.00131726,0.00131726,0.00131726
3,509.051,2.12993,1.63324,1.12385,0.3624,0.28516,0.22545,0.09165,2.1434,2.00853,1.13276,0.00197077,0.00197077,0.00197077
4,887.883,2.11325,1.58903,1.11432,0.43259,0.31775,0.28103,0.11143,2.11209,1.64624,1.12421,0.0019703,0.0019703,0.0019703
5,936.258,2.09165,1.56965,1.10564,0.40116,0.32331,0.26884,0.10609,2.10371,1.62621,1.09861,0.0019604,0.0019604,0.0019604
6,1015.45,2.0743,1.55761,1.11038,0.35121,0.29811,0.2305,0.08316,2.14803,1.7432,1.10256,0.0019505,0.0019505,0.0019505
7,1109.17,2.07498,1.55699,1.10318,0.41989,0.32627,0.28731,0.1167,2.02035,1.64476,1.08718,0.0019406,0.0019406,0.0019406
8,1268.47,2.03299,1.512,1.09693,0.40825,0.31254,0.28306,0.11798,2.05329,1.54869,1.09776,0.0019307,0.0019307,0.0019307
9,1358.36,2.02895,1.4968,1.08499,0.44341,0.3393,0.31236,0.12473,2.02019,1.70175,1.08461,0.0019208,0.0019208,0.0019208
10,1431.9,2.02702,1.47629,1.0863,0.45204,0.33969,0.31861,0.12827,2.02345,1.5267,1.07378,0.0019109,0.0019109,0.0019109
11,1542.22,2.01707,1.48816,1.08144,0.4327,0.33078,0.30157,0.12881,2.01546,1.62063,1.08382,0.001901,0.001901,0.001901
12,1611.66,1.99793,1.46216,1.08568,0.45245,0.34734,0.3186,0.1277,2.01652,1.52843,1.08689,0.0018911,0.0018911,0.0018911
13,1680.62,2.0136,1.47192,1.08231,0.45227,0.34212,0.32012,0.13203,1.99383,1.52166,1.07895,0.0018812,0.0018812,0.0018812
14,1765.84,1.98326,1.46006,1.07384,0.47819,0.35677,0.34232,0.14319,1.97118,1.44053,1.06887,0.0018713,0.0018713,0.0018713
15,1815.22,1.98319,1.43163,1.06838,0.47838,0.34525,0.33652,0.14,1.96311,1.44602,1.09589,0.0018614,0.0018614,0.0018614
16,1896.39,1.98332,1.44413,1.07372,0.44868,0.34352,0.31345,0.13201,1.98623,1.52658,1.09439,0.0018515,0.0018515,0.0018515
17,2011.02,1.99276,1.44381,1.07434,0.45526,0.34482,0.31989,0.1357,1.97314,1.46024,1.07229,0.0018416,0.0018416,0.0018416
18,2092.27,1.97646,1.43939,1.07262,0.47667,0.35681,0.33791,0.14229,1.95972,1.43559,1.06846,0.0018317,0.0018317,0.0018317
19,2242.44,1.95936,1.4177,1.07181,0.48254,0.36107,0.35167,0.14942,1.93776,1.41732,1.0621,0.0018218,0.0018218,0.0018218
20,2323.68,1.96084,1.40688,1.06938,0.45282,0.34577,0.32322,0.13543,1.97419,1.49896,1.06675,0.0018119,0.0018119,0.0018119
21,2415.81,1.95001,1.39194,1.06471,0.47682,0.35811,0.3432,0.14497,1.92989,1.43575,1.06228,0.001802,0.001802,0.001802
22,2485.98,1.95576,1.41674,1.07101,0.46894,0.35182,0.34046,0.14194,1.94124,1.43984,1.05594,0.0017921,0.0017921,0.0017921
23,2568.01,1.95028,1.39636,1.06194,0.46805,0.35894,0.34339,0.14362,1.93644,1.44465,1.06264,0.0017822,0.0017822,0.0017822
24,2639.84,1.93579,1.3801,1.05548,0.45768,0.36355,0.33367,0.14205,1.93436,1.53771,1.06318,0.0017723,0.0017723,0.0017723
25,2800.96,1.95021,1.39486,1.07169,0.46835,0.36411,0.34221,0.14616,1.93273,1.46824,1.06942,0.0017624,0.0017624,0.0017624
